,code,source,sourceOther,channelCode,created,dfrom,dto,board,amount,currency,roomCode,roomCodeAssigned,qt,country,adults,teens,children,reservationStatus,reservationTags,marketCode,los,bWindow,occupancy,ADR
0,DS-0007,-1,Zak,['DIR'],2022-01-24,2022-02-10,2022-04-13,nb,4650000.0,COP,SUPD,SUPD,1,IT,1,0,0,1,[],INDA,62,17,1,75000.0
1,RG-0009,-1,Zak,['DIR'],2022-02-07,2022-04-27,2022-05-18,bb,1200000.0,COP,SUPD,SUPD,1,IT,1,0,0,1,[],GRP,21,79,1,57142.857142857145
2,RG-0009,-1,Zak,['DIR'],2022-02-07,2022-04-27,2022-05-18,bb,1200000.0,COP,SUPT,SUPT,1,IT,1,0,0,1,[],GRP,21,79,1,57142.857142857145
3,RG-0009,-1,Zak,['DIR'],2022-02-07,2022-04-27,2022-05-18,bb,1200000.0,COP,TWIN,TWIN,1,IT,1,0,0,1,[],GRP,21,79,1,57142.857142857145
4,AH-0004,2,Booking,['WEB'],2022-02-12,2022-04-01,2022-04-04,bb,649800.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,48,2,216600.0
5,AB-0053,-1,Zak,"['DIR', 'COR']",2022-02-15,2022-04-01,2022-05-01,bb,3600000.0,COP,SUPD,SUPD,1,MA,1,0,0,1,[],GRP,30,45,1,120000.0
6,AB-0053,-1,Zak,"['DIR', 'COR']",2022-02-15,2022-04-01,2022-05-01,bb,0.0,COP,SUPT,SUPT,1,MA,2,0,0,1,[],GRP,30,45,2,0.0
7,PM-0007,-1,Zak,['DIR'],2022-03-01,2022-04-01,2022-04-09,bb,1056000.0,COP,SUPD,SUPD,1,IN,1,0,0,1,[],INDA,8,31,1,132000.0
8,DP-0004,-1,Zak,['DIR'],2022-03-02,2022-03-31,2022-04-03,bb,450000.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,3,29,2,150000.0
9,LR-0011,1,EXPEDIA PARTNER CENTRAL,['WEB'],2022-03-05,2022-04-11,2022-04-15,nb,732888.0,COP,STDT,STDT,1,CO,3,0,0,1,[],IND,4,37,3,183222.0
10,NA-0004,-1,Zak,['DIR'],2022-03-12,2022-04-01,2022-05-01,bb,6646000.0,COP,STDD,STDD,1,US,2,0,0,1,[],GRP,30,20,2,221533.33333333334
11,NA-0004,-1,Zak,['DIR'],2022-03-12,2022-04-01,2022-05-01,bb,6646000.0,COP,STDD,STDD,1,US,2,0,0,1,[],GRP,30,20,2,221533.33333333334
12,NA-0004,-1,Zak,['DIR'],2022-03-12,2022-04-01,2022-05-01,bb,6646000.0,COP,STDD,STDD,1,US,2,0,0,1,[],GRP,30,20,2,221533.33333333334
13,IS-0001,2,Booking,['WEB'],2022-03-15,2022-04-22,2022-04-26,nb,481320.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,4,38,2,120330.0
14,JN-0007,2,Booking,['WEB'],2022-03-15,2022-04-23,2022-04-26,nb,351540.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,3,39,2,117180.0
15,OR-0005,2,Booking,['WEB'],2022-03-16,2022-04-08,2022-04-10,nb,346500.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,2,23,2,173250.0
16,YJ-0001,2,Booking,['WEB'],2022-03-16,2022-04-13,2022-04-16,bb,490172.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,3,28,1,163390.66666666666
17,AR-0008,2,Booking,['WEB'],2022-03-17,2022-03-31,2022-04-03,nb,588000.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,14,2,196000.0
18,SO-0002,2,Booking,['WEB'],2022-03-18,2022-04-14,2022-04-17,nb,495180.0,COP,SUPT,SUPT,1,CO,1,0,1,1,[],IND,3,27,2,165060.0
19,AB-0058,-1,Zak,['DIR'],2022-03-19,2022-04-05,2022-04-09,bb,600000.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,4,17,2,150000.0
20,CJ-0002,2,Booking,['WEB'],2022-03-19,2022-04-04,2022-04-07,nb,332640.0,COP,TWIN,TWIN,1,CO,2,0,0,1,[],IND,3,16,2,110880.0
21,RS-0003,-1,Zak,['DIR'],2022-03-20,2022-03-24,2022-04-06,bb,7120010.0,COP,SUPT,SUPT,1,IN,1,0,0,4,[],IND,13,4,1,547693.0769230769
22,CP-0010,2,Booking,['WEB'],2022-03-21,2022-04-25,2022-04-28,bb,378000.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,3,35,2,126000.0
23,MG-0006,2,Booking,['WEB'],2022-03-21,2022-04-26,2022-04-27,nb,166320.0,COP,STDT,STDT,1,CO,3,0,0,4,[],IND,1,36,3,166320.0
24,MO-0003,2,Booking,['WEB'],2022-03-21,2022-04-14,2022-04-17,nb,632959.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,3,24,2,210986.33333333334
25,AA-0019,2,Booking,['WEB'],2022-03-21,2022-04-04,2022-04-07,nb,332640.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,3,14,2,110880.0
26,BK-0003,-1,Zak,['DIR'],2022-03-22,2022-03-25,2022-04-13,nb,1750717.0,COP,SUPT,SUPT,1,LV,3,0,0,1,[],GRP,19,3,3,92143.0
27,BK-0003,-1,Zak,['DIR'],2022-03-22,2022-04-13,2022-04-14,nb,165000.0,COP,SUPT,SUPT,1,LV,2,0,0,1,[],GRP,1,22,2,165000.0
28,EL-0005,-1,Zak,['DIR'],2022-03-22,2022-04-08,2022-04-09,bb,170000.0,COP,SUPT,SUPT,1,CO,3,0,0,1,[],GRP,1,17,3,170000.0
29,EL-0005,-1,Zak,['DIR'],2022-03-22,2022-04-08,2022-04-09,bb,170000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,17,2,170000.0
30,EL-0005,-1,Zak,['DIR'],2022-03-22,2022-04-08,2022-04-09,bb,235000.0,COP,SUPC,SUPC,1,CO,4,0,0,1,[],GRP,1,17,4,235000.0
31,EL-0005,-1,Zak,['DIR'],2022-03-22,2022-04-08,2022-04-09,bb,170000.0,COP,TWIN,TWIN,1,CO,2,0,0,1,[],GRP,1,17,2,170000.0
32,RM-0006,2,Booking,['WEB'],2022-03-23,2022-04-15,2022-04-18,nb,457380.0,COP,STDD,STDD,1,DO,1,0,0,4,[],IND,3,23,1,152460.0
33,IV-0001,2,Booking,['WEB'],2022-03-23,2022-04-14,2022-04-16,nb,321930.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,2,22,2,160965.0
34,LL-0003,2,Booking,['WEB'],2022-03-23,2022-04-17,2022-04-23,nb,684180.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,6,25,2,114030.0
35,CP-0011,-1,Zak,['DIR'],2022-03-23,2022-04-08,2022-04-09,bb,180000.0,COP,STDT,STDT,1,CO,3,0,0,1,[],GRP,1,16,3,180000.0
36,CP-0011,-1,Zak,['DIR'],2022-03-23,2022-04-08,2022-04-09,bb,160000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,1,16,2,160000.0
37,AH-0005,2,Booking,['WEB'],2022-03-24,2022-04-17,2022-04-21,nb,443520.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,4,24,2,110880.0
38,RT-0004,2,Booking,['WEB'],2022-03-25,2022-04-10,2022-04-24,nb,662735.0,COP,TWIN,TWIN,1,DE,1,0,0,1,[],GRP,14,16,1,47338.21428571428
39,RT-0004,2,Booking,['WEB'],2022-03-25,2022-04-10,2022-04-17,nb,1035405.0,COP,STDD,STDD,1,DE,1,0,0,1,[],GRP,7,16,1,147915.0
40,MA-0013,2,Booking,['WEB'],2022-03-25,2022-04-13,2022-04-17,nb,676053.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,4,19,2,169013.25
41,LL-0004,2,Booking,['WEB'],2022-03-26,2022-04-08,2022-04-09,nb,164588.0,COP,STDD,STDD,1,CO,1,0,0,4,[],IND,1,13,1,164588.0
42,OH-0002,2,Booking,['WEB'],2022-03-26,2022-04-04,2022-04-05,nb,116424.0,COP,STDT,STDT,1,CO,2,0,0,4,[],IND,1,9,2,116424.0
43,RT-0005,2,Booking,['WEB'],2022-03-26,2022-04-10,2022-04-24,nb,2396534.0,COP,SUPD,SUPD,1,DE,1,0,0,1,[],GRP,14,15,1,171181.0
44,RT-0005,2,Booking,['WEB'],2022-03-26,2022-04-10,2022-04-12,nb,2584013.0,COP,SUPD,SUPD,1,DE,1,0,0,1,[],GRP,2,15,1,1292006.5
45,RT-0006,2,Booking,['WEB'],2022-03-26,2022-04-10,2022-04-24,nb,2853720.0,COP,SUPC,SUPC,1,DE,1,0,0,1,[],INDA,14,15,1,203837.14285714287
46,RT-0007,2,Booking,['WEB'],2022-03-26,2022-04-17,2022-04-24,nb,854658.0,COP,SUPT,SUPT,1,DE,1,0,0,1,[],INDA,7,22,1,122094.0
47,SB-0011,-1,Zak,"['DIR', 'COR']",2022-03-26,2022-03-29,2022-04-03,bb,750000.0,COP,SUPC,SUPC,1,CO,2,0,0,4,[],IND,5,3,2,150000.0
48,IS-0002,2,Booking,['WEB'],2022-03-26,2022-04-22,2022-04-26,nb,481320.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,4,27,2,120330.0
49,CE-0002,2,Booking,['WEB'],2022-03-26,2022-04-30,2022-05-03,bb,396900.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,3,35,2,132300.0
50,AB-0060,-1,Zak,"['DIR', 'COR']",2022-03-26,2022-04-17,2022-04-24,bb,1190000.0,COP,STDT,STDT,1,CO,2,0,0,1,[],INDA,7,22,2,170000.0
51,AA-0020,2,Booking,['WEB'],2022-03-27,2022-04-04,2022-04-06,nb,286902.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,2,8,2,143451.0
52,AC-0020,2,Booking,['WEB'],2022-03-27,2022-04-04,2022-04-05,bb,126000.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,1,8,2,126000.0
53,JA-0018,-1,Zak,"['DIR', 'COR']",2022-03-27,2022-03-30,2022-04-02,bb,465000.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,3,3,2,155000.0
54,AR-0010,2,Booking,['WEB'],2022-03-28,2022-03-31,2022-04-03,nb,588000.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,3,2,196000.0
55,JB-0019,2,Booking,['WEB'],2022-03-28,2022-03-31,2022-04-02,nb,210672.0,COP,SUPC,SUPC,1,CO,1,0,0,1,[],IND,2,3,1,105336.0
56,JH-0012,2,Booking,"['WEB', 'COR']",2022-03-29,2022-04-06,2022-04-08,nb,232308.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],GRP,2,8,2,116154.0
57,JH-0012,2,Booking,"['WEB', 'COR']",2022-03-29,2022-04-06,2022-04-08,nb,221760.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,2,8,2,110880.0
58,LC-0014,2,Booking,['WEB'],2022-03-29,2022-04-06,2022-04-07,bb,157059.0,COP,SUPD,SUPD,1,CO,1,0,1,4,[],IND,1,8,2,157059.0
59,EA-0004,-1,Zak,['DIR'],2022-03-30,2022-04-15,2022-04-17,bb,420000.0,COP,SUPT,SUPT,1,CO,3,0,0,1,[],INDA,2,16,3,210000.0
60,MR-0011,-1,Zak,['DIR'],2022-03-31,2022-04-02,2022-04-03,bb,150000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,2,2,150000.0
61,MR-0011,-1,Zak,['DIR'],2022-03-31,2022-04-02,2022-04-03,bb,150000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,1,2,2,150000.0
62,MR-0011,-1,Zak,['DIR'],2022-03-31,2022-04-02,2022-04-03,bb,150000.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],GRP,1,2,2,150000.0
63,LS-0009,-1,Zak,['DIR'],2022-04-01,2022-04-01,2022-04-02,bb,130000.0,COP,TWIN,TWIN,1,CO,2,0,0,1,[],IND,1,0,2,130000.0
64,LR-0013,2,Booking,['WEB'],2022-04-01,2022-04-11,2022-04-14,nb,603045.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,3,10,2,201015.0
65,FD-0002,2,Booking,['WEB'],2022-04-01,2022-04-06,2022-04-09,nb,564552.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,5,2,188184.0
66,JT-0008,-1,Zak,['DIR'],2022-04-01,2022-04-01,2022-04-04,bb,450000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,3,0,2,150000.0
67,XV-0001,2,Booking,['WEB'],2022-04-01,2022-04-07,2022-04-10,nb,457380.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,3,6,2,152460.0
68,AD-0008,-1,Zak,"['DIR', 'COR']",2022-04-01,2022-04-01,2022-04-03,bb,260000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,2,0,2,130000.0
69,AD-0008,-1,Zak,"['DIR', 'COR']",2022-04-01,2022-04-01,2022-04-04,bb,260000.0,COP,STDT,STDT,1,CO,1,0,0,1,[],GRP,3,0,1,86666.66666666667
70,CD-0007,2,Booking,['WEB'],2022-04-01,2022-04-01,2022-04-02,nb,113300.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,0,2,113300.0
71,LB-0006,2,Booking,['WEB'],2022-04-01,2022-04-02,2022-04-03,nb,145802.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,1,2,145802.0
72,OG-0002,-1,Zak,"['DIR', 'COR']",2022-04-02,2022-04-02,2022-04-05,bb,693630.0,COP,SUPC,SUPC,1,CO,3,0,0,1,[],IND,3,0,3,231210.0
73,RN-0001,-1,Zak,"['DIR', 'COR']",2022-04-02,2022-04-01,2022-04-02,bb,130000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,1,-1,2,130000.0
74,RN-0001,-1,Zak,"['DIR', 'COR']",2022-04-02,2022-04-02,2022-04-03,bb,130000.0,COP,TWIN,TWIN,1,CO,1,0,0,1,[],GRP,1,0,1,130000.0
75,VV-0004,2,Booking,['WEB'],2022-04-02,2022-04-04,2022-04-05,nb,110880.0,COP,STDT,STDT,1,IT,1,0,0,1,[],IND,1,2,1,110880.0
76,SN-0001,2,Booking,['WEB'],2022-04-02,2022-04-22,2022-04-24,nb,259560.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,2,20,2,129780.0
77,AM-0021,2,Booking,['WEB'],2022-04-02,2022-04-21,2022-04-22,nb,110880.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,1,19,2,110880.0
78,JV-0015,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-05,nb,288420.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,2,0,1,144210.0
79,JA-0019,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,105600.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,1,0,2,105600.0
80,DR-0008,2,Booking,['WEB'],2022-04-03,2022-04-25,2022-04-27,nb,221760.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,2,22,2,110880.0
81,NN-0005,2,Booking,['WEB'],2022-04-03,2022-04-17,2022-04-30,nb,1838762.0,COP,SUPD,SUPD,1,IN,1,0,0,4,[],IND,13,14,1,141443.23076923078
82,NM-0002,2,Booking,['WEB'],2022-04-03,2022-04-17,2022-04-29,nb,1680103.0,COP,SUPD,SUPD,1,IN,1,0,0,4,[],IND,12,14,1,140008.58333333334
83,GW-0001,2,Booking,['WEB'],2022-04-03,2022-04-21,2022-04-26,nb,856255.0,COP,SUPT,SUPT,1,US,2,0,0,4,[],IND,5,18,2,171251.0
84,IG-0002,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,158400.0,COP,SUPT,SUPT,1,CO,3,0,0,1,[],IND,1,0,3,158400.0
85,AG-0020,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,100320.0,COP,TWIN,TWIN,1,CO,1,0,0,1,[],IND,1,0,1,100320.0
86,JM-0021,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,136620.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,0,2,136620.0
87,MG-0007,2,Booking,['WEB'],2022-04-03,2022-04-03,2022-04-04,nb,144797.0,COP,STDD,STDD,1,UY,2,0,0,1,[],IND,1,0,2,144797.0
